City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Snow,Rain,Weather Description
0,Ushuaia,-54.8,-68.3,35.6,94,40,18.34,AR,2020-07-12 21:12:13,0,0.0,scattered clouds
1,Nacozari,25.34,-108.26,98.01,49,97,14.0,MX,2020-07-12 21:12:13,0,0.0,overcast clouds
2,Soyo,-6.13,12.37,72.27,82,0,9.95,AO,2020-07-12 21:12:13,0,0.0,clear sky
3,Qaanaaq,77.48,-69.36,47.61,58,86,3.8,GL,2020-07-12 21:08:42,0,0.0,overcast clouds
4,Mercedes,-34.65,-59.43,54.0,37,80,1.99,AR,2020-07-12 21:12:14,0,0.0,broken clouds
5,Bluff,-46.6,168.33,39.0,83,82,3.0,NZ,2020-07-12 21:12:14,0,0.0,broken clouds
6,Rikitea,-23.12,-134.97,71.04,71,0,16.71,PF,2020-07-12 21:12:14,0,0.0,clear sky
7,Hermanus,-34.42,19.23,55.99,76,1,20.0,ZA,2020-07-12 21:10:51,0,0.0,clear sky
8,Port Blair,11.67,92.75,81.91,80,100,13.11,IN,2020-07-12 21:12:14,0,0.0,overcast clouds
9,Albany,42.6,-73.97,90.0,36,8,9.15,US,2020-07-12 21:07:15,0,0.0,clear sky
10,Norman Wells,65.28,-126.83,60.8,77,75,6.93,CA,2020-07-12 21:12:14,0,0.0,broken clouds
11,Hasaki,35.73,140.83,64.4,100,75,8.05,JP,2020-07-12 21:12:14,0,0.0,light intensity shower rain
12,Makakilo City,21.35,-158.09,84.2,54,75,9.17,US,2020-07-12 21:08:41,0,0.0,broken clouds
13,Tripoli,32.88,13.19,76.6,74,0,9.48,LY,2020-07-12 21:10:34,0,0.0,clear sky
14,Saskylakh,71.92,114.08,59.54,72,89,16.42,RU,2020-07-12 21:08:31,0,0.0,overcast clouds
15,Bredasdorp,-34.53,20.04,48.2,66,0,2.24,ZA,2020-07-12 21:12:15,0,0.0,clear sky
16,Auki,-8.77,160.7,80.35,80,91,7.11,SB,2020-07-12 21:12:15,0,0.0,overcast clouds
