City,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Soyo,AO,72.27,clear sky,-6.13,12.37,Hotel Mpampa
4,Mercedes,AR,54.0,broken clouds,-34.65,-59.43,Posada del Inti Centro
6,Rikitea,PF,71.04,clear sky,-23.12,-134.97,Pension Maro'i
7,Hermanus,ZA,55.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
8,Port Blair,IN,81.91,overcast clouds,11.67,92.75,Hotel Sentinel
9,Albany,US,90.0,clear sky,42.6,-73.97,
10,Norman Wells,CA,60.8,broken clouds,65.28,-126.83,
11,Hasaki,JP,64.4,light intensity shower rain,35.73,140.83,
12,Makakilo City,US,84.2,broken clouds,21.35,-158.09,
13,Tripoli,LY,76.6,clear sky,32.88,13.19,
14,Saskylakh,RU,59.54,overcast clouds,71.92,114.08,
16,Auki,SB,80.35,overcast clouds,-8.77,160.7,
17,Port Hedland,AU,59.0,clear sky,-20.32,118.57,
18,Butaritari,KI,83.35,scattered clouds,3.07,172.79,
19,Helong,CN,58.37,overcast clouds,42.54,129.0,
20,Lagoa,PT,68.83,clear sky,39.05,-27.98,
21,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,
22,Angola,AO,56.53,clear sky,-12.5,18.5,
23,Port Alfred,ZA,58.64,clear sky,-33.59,26.89,
25,Avarua,CK,71.6,light rain,-21.21,-159.78,
26,Cabo San Lucas,MX,93.2,scattered clouds,22.89,-109.91,
27,Orbetello,IT,78.8,clear sky,42.44,11.22,
28,Vila Velha,BR,75.99,scattered clouds,-20.33,-40.29,
29,Mahebourg,MU,71.6,few clouds,-20.41,57.7,
30,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,
31,Castro,BR,62.22,clear sky,-24.79,-50.01,
33,Nikolskoye,RU,55.4,broken clouds,59.7,30.79,
34,Lebu,CL,50.22,overcast clouds,-37.62,-73.65,
36,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,
37,Cherskiy,RU,52.54,overcast clouds,68.75,161.3,
38,Labuhan,ID,75.38,broken clouds,-6.88,112.21,
